"Branch","Product","Year","Color","Sales Quantity","Unit Price","Revenue","Cost","Profit","Customer Satisfaction Rating"
"France","BMW X3","2022","White","124","68174.610476415","8453651.6990754","37342.745562654","3823151.2493063","2"
"UK","BMW 3 Series","2013","Black","16","60929.070812848","974865.13300557","29930.893334059","495970.83966062","3"
"USA","BMW 3 Series","2022","Purple","33","65877.229486022","2173948.5730387","28961.000445804","1218235.5583272","5"
"UK","BMW 7 Series","2011","Silver","17","32877.288973905","558913.91255639","47837.176249431","-254318.08368395","1"
"China","BMW 3 Series","2019","Yellow","150","26952.27979012","4042841.9685179","26514.310575499","65695.382193032","1"
"Canada","BMW M4","2011","Orange","86","53641.401860718","4613160.5600218","24358.179674015","2518357.1080565","3"
"UK","BMW X5","2021","Grey","43","64188.569441215","2760108.4859723","35662.436917702","1226623.6985111","3"
"Australia","BMW X5","2013","Black","48","48389.819491891","2322711.3356108","30792.963062492","844649.10861114","1"
"India","BMW X7","2023","Green","131","41701.212200189","5462858.7982248","38795.796624563","380609.44040706","3"
"Australia","BMW 3 Series","2021","Green","6","49465.712493011","296794.27495807","32372.948430392","102556.58437572","1"
"China","BMW 5 Series","2019","Green","146","38668.149592809","5645549.84055","32407.934124131","913991.45842696","2"
"China","BMW X5","2023","Blue","92","31609.811240158","2908102.6340945","19897.524544563","1077530.3759948","5"
"Germany","BMW Z4","2013","Purple","76","26343.399963273","2002098.3972088","43072.920419109","-1271443.5546435","2"
"China","BMW X3","2017","Black","129","74467.014523952","9606244.8735898","21006.226592922","6896441.6431028","4"
"Australia","BMW M4","2018","Red","75","20732.398636523","1554929.8977392","35563.397972178","-1112324.9501742","3"
"Canada","BMW 5 Series","2016","Green","192","70045.466386932","13448729.546291","26026.78870045","8451586.1158047","2"
"Australia","BMW 7 Series","2013","Black","108","38150.395154959","4120242.6767356","47306.547381909","-988864.44051059","5"
"Japan","BMW 3 Series","2017","Silver","118","74540.949534314","8795832.045049","31518.232822766","5076680.5719627","5"
"UK","BMW Z4","2019","Silver","118","22660.859020461","2673981.3644144","24110.503355283","-171058.03150898","1"
"India","BMW 5 Series","2013","Green","181","35757.49270424","6472106.1794674","27493.787263631","1495730.6847502","2"
"Australia","BMW X3","2016","Green","57","74585.675530135","4251383.5052177","31942.595814741","2430655.5437774","3"
"Australia","BMW X5","2018","White","24","48471.004344018","1163304.1042564","31675.327700611","403096.23944178","4"
"Canada","BMW i3","2011","Purple","67","23831.799347461","1596730.5562799","31952.577978609","-544092.16828695","5"
"Japan","BMW 3 Series","2021","Silver","62","36426.64108155","2258451.7470561","46548.43869727","-627551.45217466","3"
"France","BMW X7","2013","Grey","185","47884.691010069","8858667.8368628","45685.862747089","406783.22865145","4"
"Germany","BMW X7","2016","Orange","44","37550.536690368","1652223.6143762","18434.750789268","841094.5796484","4"
"India","BMW i3","2014","Green","107","27466.710592765","2938938.0334258","45309.292149702","-1909156.2265923","5"
"China","BMW 7 Series","2010","Grey","166","37829.12132545","6279634.1400247","43673.542347386","-970173.88964131","4"
"Australia","BMW X7","2014","Blue","168","41038.260842193","6894427.8214883","24836.167975468","2721951.6016097","3"
"USA","BMW 7 Series","2014","Green","39","27785.072172156","1083617.8147141","27947.727700364","-6343.5656001111","3"
"Japan","BMW 7 Series","2014","Purple","89","63534.673800859","5654585.9682765","24596.57484014","3465490.807504","4"
"China","BMW M4","2011","Black","128","69037.44134291","8836792.4918924","37931.998635145","3981496.6665939","4"
"France","BMW X7","2021","Purple","21","61323.599458746","1287795.5886337","29750.484807173","663035.40768303","4"
"Canada","BMW 7 Series","2013","Purple","197","42782.745618697","8428200.8868833","32222.818480126","2080305.6462985","1"
"Japan","BMW i3","2022","Purple","179","54523.755020171","9759752.1486107","29625.457613015","4456795.2358811","5"
"Japan","BMW 3 Series","2016","Yellow","150","63118.931834104","9467839.7751156","26653.699267255","5469784.8850274","4"
"USA","BMW 7 Series","2019","Grey","52","38655.628700513","2010092.6924267","29340.446777591","484389.45999194","5"
"Canada","BMW i3","2018","Yellow","22","21287.367549749","468322.08609447","45438.09094406","-531315.91467486","3"
"France","BMW X5","2010","Orange","154","63356.942239851","9756969.104937","41191.503133587","3413477.6223646","1"
"Brazil","BMW Z4","2023","Yellow","155","40557.85205241","6286467.0681236","43927.893949884","-522356.49410847","2"
"Brazil","BMW i3","2011","Yellow","60","39997.151028171","2399829.0616903","34985.798687806","300681.14042193","1"
"Brazil","BMW Z4","2017","Silver","26","46498.728190864","1208966.9329625","39044.472770607","193810.64092668","3"
"France","BMW X7","2016","Red","3","72021.157171329","216063.47151399","39537.071317026","97452.257562909","3"
"Brazil","BMW X7","2016","Purple","81","46910.757412924","3799771.3504468","18922.316159967","2267063.7414895","1"
"USA","BMW Z4","2017","Red","83","22407.614678552","1859832.0183198","45475.132380562","-1914603.9692669","4"
"France","BMW 7 Series","2023","Green","43","73967.750644932","3180613.2777321","35825.375612768","1640122.1263831","1"
"Japan","BMW i3","2010","Blue","194","34622.572938469","6716779.150063","26812.136299514","1515224.7079572","1"
"China","BMW X5","2015","White","155","40806.996547547","6325084.4648699","40548.647568501","40044.09175217","2"
"Brazil","BMW 3 Series","2021","Black","13","41350.073855436","537550.96012067","34871.836145926","84217.090223633","5"
"Brazil","BMW X3","2017","Green","106","72689.63431111","7705101.2369777","35893.974111463","3900339.9811625","2"
"France","BMW X3","2013","Blue","73","73121.994588276","5337905.6049442","46582.468618126","1937385.395821","1"
"Brazil","BMW M4","2021","Black","129","63721.253439196","8220041.6936563","33598.405669614","3885847.3622761","3"
"France","BMW X5","2017","Grey","53","25244.393833413","1337952.8731709","42407.113298646","-909624.13165733","5"
"UK","BMW 7 Series","2019","Purple","101","48191.132479507","4867304.3804302","20844.359146373","2762024.1066465","5"
"India","BMW i8","2023","Orange","176","36505.294077804","6424931.7576935","49624.523414009","-2308984.363172","4"
"China","BMW X7","2015","Blue","142","40661.834536506","5773980.5041839","26664.872917459","1987568.5499047","2"
"France","BMW 5 Series","2016","Silver","12","47095.870045559","565150.44054671","18775.751910429","339841.41762156","5"
"Canada","BMW X5","2013","Grey","108","74538.585614286","8050167.2463429","17353.718396571","6175965.6595133","4"
"India","BMW M4","2021","Grey","88","44912.405276801","3952291.6643585","19545.835846194","2232258.1098934","2"
"France","BMW Z4","2018","Yellow","115","46445.825234349","5341269.9019501","44584.566567978","214044.74663265","1"
"UK","BMW 7 Series","2015","Green","50","48981.208818212","2449060.4409106","36132.015189208","642459.6814502","3"
"Japan","BMW X7","2017","Grey","80","63118.771840059","5049501.7472047","46878.037816603","1299258.7218765","2"
"UK","BMW 3 Series","2011","Grey","168","55970.454056069","9403036.2814196","46190.073686048","1643103.9021636","1"
"India","BMW 3 Series","2018","Grey","75","79184.703644154","5938852.7733116","34253.727315344","3369823.2246608","4"
"France","BMW X7","2023","White","144","29445.217194646","4240111.276029","46938.76498418","-2519070.8816929","5"
"Japan","BMW M4","2023","Blue","38","35687.331829898","1356118.6095361","36963.100085246","-48479.193703222","3"
"USA","BMW i8","2021","Grey","116","57453.367063927","6664590.5794155","44507.70057806","1501697.3123606","4"
"India","BMW 7 Series","2014","Blue","4","66851.568637533","267406.27455013","19314.195128297","190149.49403695","5"
"UK","BMW Z4","2018","Green","125","79022.177401348","9877772.1751685","39475.500602018","4943334.5999163","3"
"UK","BMW X7","2011","Black","137","58456.229387016","8008503.4260212","48965.702593895","1300202.1706576","1"
"UK","BMW i3","2014","Grey","136","27753.524276803","3774479.3016453","23219.978376027","616562.24250552","3"
"Japan","BMW X3","2017","Silver","53","76655.418134898","4062737.1611496","29309.61273568","2509327.6861586","3"
"India","BMW 3 Series","2012","Red","64","68589.179560785","4389707.4918902","45062.766987806","1505690.4046707","1"
"China","BMW X7","2011","White","108","74320.191689092","8026580.702422","39206.668508013","3792260.5035565","2"
"Canada","BMW i3","2011","Yellow","62","40855.894239579","2533065.4428539","25919.622757388","926048.83189584","5"
"UK","BMW X7","2019","Blue","180","77663.81891764","13979487.405175","24136.552251435","9634907.9999169","2"
"Australia","BMW 5 Series","2021","Yellow","93","78354.335717091","7286953.2216895","20733.32233911","5358754.2441523","1"
"Australia","BMW i3","2019","Purple","19","29569.623769631","561822.85162298","26411.878857318","59997.153333943","4"
"Brazil","BMW Z4","2011","Purple","165","76192.092374591","12571695.241807","39177.383374006","6107426.9850965","2"
"Australia","BMW i8","2022","Red","120","35838.810881974","4300657.3058369","21789.361800682","1685933.8897551","2"
"USA","BMW i3","2010","Blue","171","48074.827176881","8220795.4472466","39120.358655053","1531214.1172325","2"
"Japan","BMW X5","2023","Red","16","30773.238210727","492371.81137164","24089.483309549","106940.07841885","4"
"Australia","BMW X5","2015","Grey","22","49454.751812609","1088004.5398774","26292.199768303","509576.14497473","3"
"Japan","BMW X3","2023","Green","67","66717.186322327","4470051.4835959","36865.538038637","2000060.4350072","3"
"Japan","BMW 7 Series","2014","White","166","40628.297359976","6744297.3617561","16335.908149773","4032536.6088937","4"
"France","BMW 5 Series","2014","White","153","65068.329597705","9955454.4284489","30918.861233415","5224868.6597364","5"
"Germany","BMW X7","2021","Red","83","31832.075946804","2642062.3035847","24950.763029076","571148.97217141","1"
"Japan","BMW X7","2012","Orange","103","48531.251436042","4998718.8979124","42485.519844952","622710.3538823","4"
"Germany","BMW i3","2016","Green","42","36282.814994762","1523878.22978","19416.008867043","708405.85736421","4"
"Germany","BMW i3","2011","Green","181","41847.885321694","7574467.2432266","17676.770112338","4374971.8528934","3"
"Australia","BMW 3 Series","2022","Red","35","72136.128392547","2524764.4937391","29139.700838973","1504874.9643751","2"
"Brazil","BMW X5","2016","White","128","59403.515640526","7603650.0019874","29471.807643668","3831258.6235978","3"
"Brazil","BMW X3","2021","Black","81","47410.616814514","3840259.9619756","46658.426975974","60927.376921736","1"
"Germany","BMW X7","2020","Blue","121","70156.262726853","8488907.7899492","41192.359853877","3504632.24763","2"
"France","BMW X3","2016","Blue","125","67270.880737911","8408860.0922389","20931.571249135","5792413.6860971","2"
"India","BMW 7 Series","2014","Silver","45","54506.148046412","2452776.6620885","44070.175569383","469618.76146632","2"
"UK","BMW X7","2018","Silver","182","70293.734823926","12793459.737955","49346.624456327","3812374.086903","3"
"UK","BMW 5 Series","2017","Grey","187","51844.575451614","9694935.6094518","46303.450695941","1036190.3293108","1"
"France","BMW X5","2010","Green","180","32815.202583838","5906736.4650908","29626.792857479","573913.75074462","1"
"China","BMW Z4","2022","Orange","134","70075.68016902","9390141.1426487","40530.449641609","3959060.8906731","2"
"China","BMW Z4","2018","White","22","32700.999253121","719421.98356867","20250.862533977","273903.00782118","1"
"USA","BMW i8","2010","Green","62","23324.595941799","1446124.9483915","33817.542251252","-650562.67118608","4"
"Germany","BMW 7 Series","2016","Red","38","46783.706283055","1777780.8387561","40091.655189787","254297.94154417","1"
"UK","BMW Z4","2023","White","162","69601.427861291","11275431.313529","42366.663493941","4412031.8275107","5"
"Japan","BMW 3 Series","2017","Grey","18","34317.117616326","617708.11709387","16100.029067821","327907.5938731","5"
"Germany","BMW Z4","2010","Silver","78","79328.828752918","6187648.6427276","15394.950134683","4986842.5322223","1"
"UK","BMW M4","2019","Black","164","52353.911579886","8586041.4991013","23677.303368936","4702963.7465958","5"
"Japan","BMW X3","2012","Blue","84","66694.700892702","5602354.874987","22786.295702818","3688306.0359502","1"
"Germany","BMW 7 Series","2020","Silver","30","25415.887114081","762476.61342243","33308.936001944","-236791.46663589","4"
"Canada","BMW X7","2015","Silver","177","28997.569417693","5132569.7869317","20951.003518869","1424242.1640919","2"
"Brazil","BMW Z4","2015","Green","15","60875.106804028","913126.60206042","45719.277444155","227337.4403981","1"
"Germany","BMW 3 Series","2021","White","93","68269.945203064","6349104.9038849","39243.982014855","2699414.5765034","3"
"China","BMW i8","2019","Purple","183","44682.85898557","8176963.1943593","26508.341760751","3325936.6521418","1"
"France","BMW M4","2022","Grey","89","62502.651314574","5562735.9669971","35048.095246613","2443455.4900485","2"
"Japan","BMW i3","2022","Grey","195","28016.505722853","5463218.6159562","19523.779910406","1656081.533427","5"
"UK","BMW X5","2014","Green","47","23568.439011694","1107716.6335496","33261.875235385","-455591.50251347","1"
"UK","BMW Z4","2021","Green","87","73131.506204547","6362441.0397956","33665.876059198","3433509.8226453","5"
"USA","BMW X5","2018","Red","120","77039.529122976","9244743.4947572","30665.845600289","5564842.0227225","3"
"Australia","BMW 5 Series","2013","Green","17","56873.181739856","966844.08957755","38420.962910556","313687.7200981","4"
"China","BMW Z4","2013","Yellow","182","20078.580717076","3654301.6905078","34551.711952087","-2634109.8847721","3"
"Brazil","BMW 5 Series","2016","White","8","55843.025876256","446744.20701005","18940.000575611","295224.20240516","5"
"Brazil","BMW X3","2023","Green","113","29223.450540659","3302249.9110944","22679.510704616","739465.20147284","1"
"India","BMW 7 Series","2016","Red","41","47211.670876874","1935678.5059518","37430.13618018","401042.92256444","1"
"USA","BMW 3 Series","2010","Yellow","35","56632.008545881","1982120.2991058","25612.194574699","1085693.4889914","2"
"USA","BMW Z4","2010","Blue","122","63136.954893069","7702708.4969544","42207.50045618","2553393.4413005","1"
"France","BMW M4","2014","Silver","179","45676.515178784","8176096.2170024","30215.012870604","2767608.9131641","4"
"UK","BMW X7","2017","Yellow","95","60936.985848365","5789013.6555947","46367.118119758","1384137.4342177","3"
"Japan","BMW X5","2013","Silver","173","21334.492231884","3690867.1561159","19784.755876664","268104.38945307","4"
"India","BMW 3 Series","2021","Black","46","57650.383037911","2651917.6197439","45798.504455179","545186.41480568","1"
"Australia","BMW 7 Series","2023","Orange","182","26121.273416882","4754071.7618726","33266.524861869","-1300435.7629875","4"
"Germany","BMW Z4","2012","Yellow","16","66135.383008807","1058166.1281409","16518.892360662","793863.85037032","4"
"China","BMW i3","2016","Blue","13","30685.036314672","398905.47209074","34073.48656694","-44049.853279481","3"
"India","BMW i8","2011","Purple","62","27913.141199064","1730614.754342","47255.035558882","-1199197.4503087","4"
"China","BMW 5 Series","2014","Red","31","65830.690646259","2040751.410034","24915.263402204","1268378.2445657","4"
"Japan","BMW 5 Series","2015","Orange","194","58630.243520444","11374267.242966","19346.612221029","7621024.4720866","2"
"Canada","BMW X7","2021","Orange","165","76429.405680794","12610851.937331","16756.058920725","9846102.2154113","5"
"Australia","BMW i3","2016","Black","5","65931.465355121","329657.3267756","29725.854695606","181028.05329757","4"
"USA","BMW 3 Series","2019","Yellow","177","73055.76101189","12930869.699105","17944.121523848","9754760.1893835","4"
"Brazil","BMW i3","2022","Blue","15","26693.636901493","400404.55352239","15960.013682792","161004.34828051","5"
"UK","BMW X7","2019","Red","146","79003.960147839","11534578.181585","34610.77941397","6481404.3871449","2"
"USA","BMW 7 Series","2019","Silver","101","45727.814247825","4618509.2390303","19564.282825925","2642516.6736118","4"
"Australia","BMW 3 Series","2011","Orange","19","30920.044307129","587480.84183546","46895.926795679","-303541.76728244","3"
"India","BMW i3","2013","Purple","128","38378.266232847","4912418.0778045","18708.106872527","2517780.398121","3"
"China","BMW M4","2019","Black","88","28828.224197024","2536883.7293382","34595.225269411","-507496.09437","3"
"Germany","BMW M4","2012","Silver","42","25705.172118305","1079617.2289688","26402.332358402","-29280.730084054","2"
"China","BMW 3 Series","2017","Silver","153","31414.300837783","4806388.0281807","40070.085786682","-1324335.0971816","3"
"Brazil","BMW i8","2018","Black","199","63323.185883097","12601313.990736","43341.371242454","3976381.113488","5"
"UK","BMW X3","2016","Orange","83","50940.008159719","4228020.6772567","19908.101734607","2575648.2332843","4"
"Australia","BMW X7","2018","Green","78","62679.298060291","4888985.2487027","43491.225403435","1496669.6672348","4"
"France","BMW 5 Series","2018","Blue","39","42936.441877362","1674521.2332171","28984.627676523","544120.75383273","4"
"Australia","BMW i8","2015","Grey","144","25737.16784064","3706152.1690521","42059.93343879","-2350478.2461336","4"
"China","BMW 7 Series","2019","Black","119","72188.737711448","8590459.7876623","23657.128302697","5775261.5196414","1"
"France","BMW X3","2018","Yellow","186","23082.08680823","4293268.1463307","15036.29636654","1496517.0221542","3"
"India","BMW X7","2010","Green","14","58750.291232402","822504.07725363","44244.624389167","203079.33580529","3"
"India","BMW 3 Series","2019","Red","156","70984.132184256","11073524.620744","22294.486411004","7595584.7406272","2"
"Australia","BMW i8","2014","Purple","14","30790.388193833","431065.43471366","21558.415514297","129247.6175135","1"
"Australia","BMW i8","2016","Silver","109","39485.450508568","4303914.1054339","15883.648726021","2572596.3942976","3"
"China","BMW 7 Series","2023","Purple","82","32469.51888633","2662500.5486791","42835.348250611","-849998.007871","5"
"UK","BMW i8","2023","Black","115","41350.931030449","4755357.0685016","34582.508029613","778368.64509609","4"
"Germany","BMW X7","2022","Black","49","27128.123044615","1329278.0291862","30831.168086841","-181449.20706903","2"
"UK","BMW 5 Series","2019","Black","125","26039.153051963","3254894.1314954","22225.585783422","476695.90856761","4"
"France","BMW X3","2011","Orange","90","34954.736973459","3145926.3276113","17735.730727015","1549710.56218","5"
"UK","BMW 3 Series","2016","White","132","44915.941580175","5928904.2885831","48146.153487505","-426387.97176756","1"
"Canada","BMW X5","2010","White","181","75844.012448033","13727766.253094","26170.068080905","8990983.9304502","5"
"Australia","BMW X3","2021","Green","176","35086.804304027","6175277.5575087","37000.343098337","-336782.82779853","5"
"Brazil","BMW i8","2011","Orange","140","34755.342098984","4865747.8938578","18057.530706086","2337693.5950058","5"
"Japan","BMW i3","2018","Green","155","66347.292138433","10283830.281457","44559.876245518","3377049.4634018","3"
"Canada","BMW X3","2021","Yellow","124","22215.079738501","2754669.8875742","32454.053323636","-1269632.7245567","2"
"UK","BMW i8","2023","Red","187","20880.649532514","3904681.4625801","41059.73534701","-3773489.0473109","5"
"Canada","BMW 3 Series","2013","Green","129","66634.293619653","8595823.8769352","30016.612524862","4723680.861228","5"
"Japan","BMW X3","2011","White","41","51481.444343725","2110739.2180927","42460.563351836","369856.12066746","4"
"China","BMW Z4","2019","White","179","67112.729821737","12013178.638091","39005.791351071","5031141.9862491","5"
"UK","BMW 5 Series","2023","White","18","61084.46166198","1099520.3099156","28079.018736817","594097.97265293","3"
"China","BMW i8","2023","White","168","47118.168878156","7915852.3715301","28075.497105163","3199168.8578628","1"
"Japan","BMW i8","2013","White","14","54175.245504237","758453.43705931","43049.675570925","155757.97906637","3"
"Germany","BMW 5 Series","2012","White","33","68055.570629402","2245833.8307703","20666.991657744","1563823.1060647","1"
"Germany","BMW 3 Series","2016","Red","109","66096.17890231","7204483.5003518","46322.462840857","2155335.0506984","4"
"Canada","BMW Z4","2012","White","103","31375.884414561","3231716.0946997","41250.205757123","-1017055.098284","1"
"Canada","BMW 7 Series","2020","Purple","175","45737.710588042","8004099.3529074","45541.646582936","34311.200893596","1"
"Australia","BMW i3","2019","Purple","95","47383.486276415","4501431.1962594","38559.663151167","838263.19689856","3"
"Canada","BMW 5 Series","2010","Purple","30","69304.730506284","2079141.9151885","30502.311402544","1164072.5731122","4"
"USA","BMW 7 Series","2020","Yellow","193","65188.529229549","12581386.141303","34110.713587764","5998018.4188644","5"
"India","BMW X7","2012","Orange","40","59293.933887358","2371757.3554943","18140.945927616","1646119.5183897","5"
"Brazil","BMW X7","2011","Black","78","75041.795678051","5853260.062888","29920.790378065","3519438.4133989","4"
"Germany","BMW 7 Series","2020","Grey","87","40411.315908646","3515784.4840522","26532.296161873","1207474.7179692","1"
"USA","BMW X7","2018","Black","173","60653.122994977","10492990.278131","25250.009825729","6124738.5782799","5"
"Germany","BMW 3 Series","2023","Grey","79","55031.994202744","4347527.5420168","19552.393686747","2802888.4407638","4"
"China","BMW 3 Series","2015","Yellow","116","62075.03478432","7200704.0349812","47239.0498651","1720974.2506296","4"
"Australia","BMW X7","2010","Green","64","72455.085660875","4637125.482296","41809.86100937","1961294.3776963","2"
"USA","BMW X5","2017","Red","10","40180.350015667","401803.50015667","45234.65079726","-50543.007815925","2"
"Japan","BMW X5","2020","Silver","76","64437.448149065","4897246.0593289","26236.091584675","2903303.0988936","3"
"Brazil","BMW X3","2020","Green","12","33176.70056562","398120.40678744","25735.789021855","89290.938525176","4"
"Australia","BMW X3","2015","Black","70","29709.046173241","2079633.2321269","49618.204319283","-1393641.0702229","5"
"Australia","BMW i8","2018","Purple","89","27059.887728779","2408330.0078613","45191.100560975","-1613677.9420654","4"
"Japan","BMW i8","2014","Red","27","77344.447851083","2088300.0919793","42501.452671132","940760.86985868","3"
"Brazil","BMW X5","2022","Purple","183","50540.379886691","9248889.5192645","23321.883599966","4980984.8204707","4"
"Brazil","BMW 7 Series","2014","Yellow","68","62034.508155286","4218346.5545595","48376.350224444","928754.73929729","4"
"France","BMW X5","2010","Silver","142","64235.923927399","9121501.1976907","48130.980355596","2286901.9871961","2"
"Canada","BMW X5","2020","Purple","104","21747.416327304","2261731.2980396","28200.688767447","-671140.33377489","2"
"Canada","BMW M4","2014","Silver","44","21283.227748932","936462.02095303","27279.03443902","-263815.49436383","2"
"China","BMW 5 Series","2021","Grey","148","25930.866144055","3837768.1893201","32925.413679794","-1035193.0352895","4"
"India","BMW 7 Series","2014","Orange","172","65728.296077023","11305266.925248","49374.30486012","2812886.4893074","1"
"Australia","BMW 5 Series","2011","Purple","26","56242.14275284","1462295.7115738","34921.56854618","554334.92937316","2"
"Canada","BMW i8","2021","Orange","53","30715.490730869","1627921.008736","35811.131203069","-270068.94502663","4"
"Brazil","BMW 7 Series","2014","Yellow","28","29616.551897902","829263.45314124","47355.609650876","-496693.61708327","5"
"China","BMW i3","2013","Purple","174","60630.685914859","10549739.349185","39938.172518862","3600497.3309035","1"
"Australia","BMW M4","2021","Black","196","47154.474128315","9242276.9291497","41439.067834451","1120219.6335972","1"
"China","BMW 3 Series","2015","Orange","141","21125.763313157","2978732.6271551","24300.996393966","-447707.86439412","5"
"Japan","BMW 7 Series","2019","Silver","7","45575.569613951","319028.98729766","29771.315402833","110629.77947783","1"
"India","BMW Z4","2021","Silver","97","29475.353776098","2859109.3162815","22674.368656429","659695.55660784","4"
"Japan","BMW M4","2014","Orange","86","20057.513442215","1724946.1560305","46417.439340484","-2266953.6272511","5"
"China","BMW 3 Series","2016","Silver","8","75211.332484828","601690.65987863","24891.321032312","402560.09162013","3"
"Australia","BMW Z4","2022","Blue","3","42729.821802021","128189.46540606","34278.576250873","25353.736653443","1"
"China","BMW 5 Series","2010","Red","60","46302.083177032","2778124.9906219","42284.697070924","241043.16636647","2"
"UK","BMW M4","2015","Blue","153","29582.853281106","4526176.5520092","18038.789625959","1766241.7392374","2"
"India","BMW 5 Series","2012","White","152","33016.130241898","5018451.7967684","49075.457474834","-2441017.7394064","2"
"Japan","BMW X7","2021","Grey","164","47293.257504402","7756094.2307219","32769.757155748","2381854.0571793","3"
